date,yearday,plot,count,grid letter,grid number,tree spec,tree rep,number lep,lep species,lep length,lepbio mass(mg)
5/29/86,149,1,1,A,5.5,2,1,1,3,6,0.45
5/29/86,149,1,1,A,6.5,1,1,1,2,6,0.45
5/29/86,149,1,1,A,6.5,2,1,1,3,15,5.09
5/29/86,149,1,1,B,1.5,2,1,1,3,8,0.97
5/29/86,149,1,1,B,8.5,1,1,1,2,3,0.07
5/29/86,149,1,1,B,9.5,1,1,1,6,9,1.32
5/29/86,149,1,1,B,9.5,2,1,1,6,20,10.88
5/29/86,149,1,1,D,1.5,2,2,1,3,5,0.28
5/30/86,150,4,1,A,6.5,1,2,1,6,10,1.75
5/30/86,150,4,1,A,6.5,2,1,1,4,10,1.75
5/30/86,150,4,1,B,1.5,1,1,1,2,15,5.09
5/30/86,150,4,1,C,2.5,1,2,1,2,12,2.83
5/30/86,150,4,1,D,3.5,1,2,1,5,20,10.88
5/30/86,150,4,1,D,5.5,1,2,1,2,24,17.61
5/31/86,151,3,1,A,3.5,1,2,1,6,15,5.09
5/31/86,151,3,1,A,5.5,1,1,1,6,11,2.25
5/31/86,151,3,1,B,9.5,1,2,1,6,12,2.83
5/31/86,151,3,1,C,1.5,2,1,1,2,12,2.83
5/31/86,151,3,1,C,7.5,2,1,1,2,12,2.83
5/31/86,151,3,1,C,8.5,1,2,1,6,12,2.83
6/9/86,160,2,2,G,2.5,2,1,1,3,15,5.09
6/9/86,160,2,2,H,3.5,2,2,1,3,13,3.49
6/9/86,160,2,2,H,5.5,2,2,1,3,5,0.28
6/9/86,160,2,2,H,8.5,2,2,1,2,6,0.45
6/9/86,160,2,2,I,1.5,2,2,1,6,12,2.83
6/9/86,160,2,2,I,2.5,2,1,1,6,15,5.09
6/9/86,160,2,2,I,2.5,2,2,1,6,12,2.83
6/9/86,160,2,2,J,8.5,1,2,1,6,9,1.32
6/9/86,160,3,2,A,1.5,1,2,1,2,20,10.88
6/9/86,160,3,2,A,4.5,1,2,1,2,20,10.88
6/9/86,160,3,2,A,5.5,1,2,1,3,30,31.74
6/9/86,160,3,2,A,9.5,1,1,1,2,15,5.09
6/9/86,160,3,2,B,4.5,1,1,1,2,12,2.83
6/9/86,160,3,2,B,5.5,1,2,1,5,25,19.62
6/9/86,160,3,2,B,6.5,1,2,1,2,10,1.75
6/9/86,160,3,2,B,9.5,1,2,1,2,12,2.83
6/9/86,160,3,2,C,1.5,2,1,1,3,17,7.09
6/9/86,160,3,2,C,3.5,1,1,1,2,12,2.83
6/9/86,160,3,2,C,4.5,2,2,1,3,10,1.75
