"Site","Year","jday","mass","density"
"Botanical Garden","2015",139,1.24067062213174,0.0342018788321506
"Botanical Garden","2015",142,0.435121853125396,0.0341691825447652
"Botanical Garden","2015",145,0.405080438810678,0.0399698115047067
"Botanical Garden","2015",149,0.368162052946376,0.0255184296967694
"Botanical Garden","2015",156,0.111154208243264,0.0102290152210855
"Botanical Garden","2015",160,0.872528249189485,0.051037785299044
"Botanical Garden","2015",163,1.28271970348169,0.0929511803273595
"Botanical Garden","2015",167,0.441509433962267,0.0179182479935295
"Botanical Garden","2015",170,2.21820270263128,0.157715464671453
"Botanical Garden","2015",181,2.64610381960932,0.0837275011514112
"Botanical Garden","2015",184,1.50353212197838,0.06813042505633
"Botanical Garden","2015",195,2.99510923576744,0.0710076056457391
"Botanical Garden","2015",198,1.83725518810965,0.0907284251573229
"Botanical Garden","2015",NA,NA,NA
"Botanical Garden","2016",152,0.634780094194494,0.0557753714948373
"Botanical Garden","2016",155,0.358244438485929,0.0344735724303499
"Botanical Garden","2016",159,0.825392771591263,0.057625845725415
"Botanical Garden","2016",162,0.48178087782496,0.0550339627772143
"Botanical Garden","2016",166,1.25511949102839,0.0766270667091594
"Botanical Garden","2016",169,1.14635727401978,0.0881881403860164
"Botanical Garden","2016",173,2.39887376818396,0.0173002066413571
"Botanical Garden","2016",176,1.62558172683764,0.0873030446526997
"Botanical Garden","2016",183,0.703372860560221,0.0515555568565073
"Botanical Garden","2016",188,3.01502098006358,0.0774936218343726
"Botanical Garden","2016",190,2.03633015898876,0.083156940699036
"Botanical Garden","2016",197,1.31300540137371,0.0752724940951197
"Botanical Garden","2016",201,2.54863092011525,0.0723123063259014
"Botanical Garden","2016",NA,NA,NA
"Botanical Garden","2017",135,0.573281846237843,0.0313784923117952
"Botanical Garden","2017",138,0.386682533162514,0.0252889862132022
"Botanical Garden","2017",145,0.961340219058957,0.0296279076920169
"Botanical Garden","2017",149,0.564512589905873,0.0334681479946057
"Botanical Garden","2017",152,0.578050072377205,0.026683589125205
"Botanical Garden","2017",159,1.49222477120619,0.0830120667704579
"Botanical Garden","2017",163,7.8475338925224,0.106087053865152
"Botanical Garden","2017",NA,NA,NA
"Prairie Ridge","2015",138,1.96547661209297,0.100036711335982
"Prairie Ridge","2015",141,0.876646427422175,0.0659799784818855
"Prairie Ridge","2015",146,1.05416366141597,0.0295851243776156
"Prairie Ridge","2015",148,1.67391732380592,0.0531519478925137
"Prairie Ridge","2015",155,1.3891267847665,0.0786241823776347
"Prairie Ridge","2015",159,5.21156641643917,0.210946522069623
"Prairie Ridge","2015",162,5.87820762219982,0.294127748590502
"Prairie Ridge","2015",166,5.98221170515349,0.313731935034174
"Prairie Ridge","2015",169,1.71546488594381,0.10507336414387
"Prairie Ridge","2015",173,4.6660783240152,0.195411768913504
"Prairie Ridge","2015",180,5.50037281727453,0.144107833646115
"Prairie Ridge","2015",183,2.82205264643155,0.109644097185542
"Prairie Ridge","2015",187,4.17881244507643,0.0942600940184358
"Prairie Ridge","2015",190,2.69433072230707,0.0991987629212612
"Prairie Ridge","2015",194,2.80770834970532,0.0782829444053339
"Prairie Ridge","2015",197,2.03967962516743,0.136781888962986
"Prairie Ridge","2015",201,2.52466171038447,0.0932191856553698
"Prairie Ridge","2015",NA,NA,NA
