"ID","SiteFK","Circle","Orientation","Code","Species"
"2786","78","4","D","DCD","American beech"
"2782","78","3","E","DBZ","American beech"
"2779","78","3","B","DBW","American beech"
"2706","2","-3","D","CYC","American beech"
"2703","2","-3","A","CXZ","Birch spp."
"2700","2","-2","C","-CXW","Paper birch"
"2697","2","-1","E","-CXT","American hornbeam"
"3176","93","1","B","DRD","Blackgum"
"3662","2","3","E","EJV","Sugar maple"
"3661","2","3","D","EJU","American beech"
"3660","2","3","C","EJT","Black cherry"
"3659","2","3","B","EJS","Black cherry"
"3658","2","3","A","EJR","Birch spp."
"3657","2","2","E","EJQ","Paper birch"
"3656","2","2","D","EJP","Honeylocust"
"3655","2","2","C","EJO","Paper birch"
"3654","2","2","B","EJN","Red maple"
"3653","2","2","A","EJM","Sweetgum"
"3652","2","1","E","EJL","American hornbeam"
"3651","2","1","D","EJK","Oak spp."
"3650","2","1","C","EJJ","Bigleaf maple"
"3649","2","1","B","EJI","N/A"
"3648","2","1","A","EJH","Sugar maple"
"3647","77","9","A","DAR","Boxelder"
"3646","108","2","E","EJF","N/A"
"3645","108","2","D","EJE","N/A"
"3644","108","2","C","EJD","N/A"
"3643","108","2","B","EJC","N/A"
"3642","108","2","A","EJB","N/A"
"3641","108","1","E","EJA","N/A"
"3640","108","1","D","EIZ","N/A"
"3639","108","1","C","EIY","N/A"
"3638","108","1","B","EIX","N/A"
"3637","108","1","A","EIW","N/A"
"3635","77","8","C","DAO","American hornbeam"
"3634","107","5","E","EIT","N/A"
"3633","107","5","D","EIS","N/A"
"3632","107","5","C","EIR","N/A"
"3631","107","5","B","EIQ","N/A"
"3630","107","5","A","EIP","N/A"
"3629","107","4","E","EIO","N/A"
"3628","107","4","D","EIN","N/A"
"3627","107","4","C","EIM","N/A"
"3626","107","4","B","EIL","N/A"
"3625","107","4","A","EIK","N/A"
"3624","107","3","E","EIJ","N/A"
"3623","107","3","D","EII","N/A"
"3622","107","3","C","EIH","N/A"
"3621","107","3","B","EIG","N/A"
"3620","107","3","A","EIF","N/A"
"3619","107","2","E","EIE","N/A"
"3618","107","2","D","EID","N/A"
"3617","107","2","C","EIC","N/A"
"3616","107","2","B","EIB","N/A"
"3615","107","2","A","EIA","N/A"
"3614","107","1","E","EHZ","N/A"
"3613","107","1","D","EHY","N/A"
"3612","107","1","C","EHX","N/A"
"3611","107","1","B","EHW","N/A"
"3610","107","1","A","EHV","N/A"
"3558","105","6","E","EFV","N/A"
"3557","105","6","D","EFU","N/A"
"3556","105","6","C","EFT","N/A"
"3555","105","6","B","EFS","N/A"
"3554","105","6","A","EFR","N/A"
