"lat","long","start.date","end.date","SubsetID","Status"
35.898645,-79.031469,2014,2014,1,"Successful download"
35.809674,-78.716546,2014,2014,2,"Successful download"
43.942407,-71.710066,2014,2014,3,"Successful download"
