arthCode,slope,intercept,r-squared
ARAN,2.28,-1.17,0.97
AUCH,3.13,-1.92,0.94
COLE,1.66,-0.71,0.98
DIPT,2.31,-1.63,0.96
LEPL,2.09,-1.8,0.9
OPIL,2.17,-0.79,0.94
ORTH,2.27,-1.63,0.88
