"","location","lat","long"
"1","2704132",34.972008,-83.46505
"2","6302205",35.4416,-83.8522
"3","6303117",36.090936,-81.810806
"4","6390627",35.737317,-83.04095
"5","6390644",35.7753,-82.9594
"6","6390909",35.879491,-81.833108
"7","6390944",35.919012,-81.804563
"8","6391006",35.0275,-83.2122
"9","6391028",35.0357,-83.1746
"10","6391108",35.2041,-83.5848
"11","8204206",36.288,-82.0659
"12","8204219",36.2383,-82.0275
"13","8290243",35.321954,-84.066109
"14","8290339",35.628,-83.174
"15","8290344",35.623,-83.1914
"16","8890009",37.738689,-79.270728
"17","8890029",37.727003,-79.244753
"18","8890223",37.540154,-79.56831
"19","8890236",37.516956,-79.617772
"20","8892025",36.684619,-81.550561
"21","8892036",36.717633,-81.522403
"22","Botanical Garden",35.898645,-79.031469
"23","Prairie Ridge",35.809674,-78.716546
"24","Hubbard Brook",43.93903,-71.75115
"25","Moosilauke",43.990567,-71.773936
"26","Russell",44.004677,-71.645864
"27","Stinson",43.835,-71.773936
"28","C",41.460058,-72.520527
"29","H",41.521779,-72.541126
"30","M",41.476715,-72.631527
