"tree_sp","means","M","std","r","Min","Max"
"Mountain laurel   ",9.81462871009123,"a",12.2038656354629,355,0,132.072305115036
"Sugar maple       ",5.34450918938554,"b",25.0434491517182,357,0,292.796008735807
"American beech    ",5.31197984119612,"b",29.1694048582991,736,0,668.310626174418
"Great rhododendron",4.07416422074437,"b",6.09205395903685,833,0.832216477655728,69.9061841230811
"Common persimmon  ",3.53516200158992,"b",2.70522036654418,242,1.78603174193061,17.8603174193061
"Witch hazel       ",3.42955808634452,"b",5.17975699682507,415,0,58.9131380863847
"Red maple         ",3.26773622715855,"b",6.29065914928304,478,0,93.0787585300135
"Sourwood          ",2.91044301974356,"b",2.98229600622535,235,0,33.9366542951014
"Sweet gum         ",2.51862728932657,"b",3.77904966189363,367,1.05397515984362,50.5908076724936
"Striped maple     ",2.39526980667375,"b",8.96169910155969,419,0,127.870866259378
