,AM,BS,PM,VOL,FRASS
AM,1,0.37,-0.14,0.69,-0.01
BS,0.37,1,0.86,0.75,0.4
PM,-0.14,0.86,1,-1,0.76
VOL,0.69,0.75,-1,1,0.45
FRASS,-0.01,0.4,0.76,0.45,1
