,AM,BS,PM,VOL,FRASS
AM,1,0.45,0.64,0,0.66
BS,0.45,1,0.81,0.27,0.78
PM,0.64,0.81,1,0.07,0.72
VOL,0,0.27,0.07,1,-0.03
FRASS,0.66,0.78,0.72,-0.03,1
