,AM,BS,PM,VOL,FRASS
AM,1,0.45,0.58,0.98,0.26
BS,0.45,1,0.59,0.45,-0.01
PM,0.58,0.59,1,1,-0.13
VOL,0.98,0.45,1,1,0.35
FRASS,0.26,-0.01,-0.13,0.35,1
