"circles","sampFreq","maxJD","JDmean"
1,1,164.777777777778,168.075637894777
1,2,166.62962962963,167.744028481318
1,3,165.612903225806,167.002199434998
1,4,169.019230769231,172.163820215479
1,5,167.622641509434,170.525905600905
1,6,168.411764705882,168.790424356947
2,1,163.5,169.747530078611
2,2,164.659574468085,167.938523622427
2,3,163.709677419355,167.749560498367
2,4,168.825688073395,172.02668530957
2,5,167.651851851852,170.733014409977
2,6,168.323699421965,169.408623307333
3,1,162.983050847458,170.280882928359
3,2,163.039473684211,168.069962486241
3,3,162.991666666667,168.208518875417
3,4,167.837988826816,171.839192442389
3,5,167.555102040816,170.814077081056
3,6,167.65780730897,169.693788467215
4,1,162.986111111111,170.328823475051
4,2,162.578947368421,168.126712331071
4,3,162.483660130719,168.395413021278
4,4,166.803738317757,171.660201471645
4,5,167.194539249147,170.806210386803
4,6,167.15406162465,169.748497327583
5,1,163,170.37762575963
5,2,162.363636363636,168.159124138705
5,3,161.932203389831,168.478409787972
5,4,166.047337278107,171.547817300215
5,5,166.891774891775,170.745711476928
5,6,166.900355871886,169.720508562108
6,1,163,170.395837414566
6,2,162.026315789474,168.204570254203
6,3,161.5,168.532651293537
6,4,165.666666666667,171.516414310352
6,5,166.508771929825,170.652206525372
6,6,166.8,169.704692478842
7,1,163,170.407582814744
7,2,161.4,168.246419590409
7,3,161.5,168.559674561139
7,4,165.666666666667,171.536278625069
7,5,166,170.567862781567
7,6,166.8,169.72626012589
8,1,163,170.415703014067
8,2,160,168.254921106909
8,3,161.5,168.577976530841
8,4,165.666666666667,171.551237164259
8,5,166,170.568843924083
8,6,166.8,169.740992369844
