"SubsetID","location","lat","long","start.date","end.date","Status"
"Lat35.89865Lon-79.03147Start2015-01-01End2015-12-31","NC Botanical Garden",35.898645,-79.031469,2015,2015,"Successful download"
"Lat35.80967Lon-78.71655Start2015-01-01End2015-12-31","Prairie Ridge Ecostation",35.809674,-78.716546,2015,2015,"Successful download"
