Date	Site	Station	TreeCode	LeafArea_pixels	RefArea_pixels	Ratio of Leaf Area: Ref Area	Known Ref Area (cm^2)	Leaf Area (cm^2)	TreeSpecies
20150723	117	8A	ACLE	246417	249846	0.986275546	25	24.65688864	Chalk maple
20150723	117	8B	ACLE	416394	248321	1.676837642	25	41.92094104	Chalk maple
20150723	117	2B	LIAM	352518	259431	1.35881217	25	33.97030424	Sweet gum
20150723	117	4A	LIAM	240281	217846	1.102985595	25	27.57463988	Sweet gum
20150723	117	5E	LIAM	285051	118522	2.405047164	25	60.12617911	Sweet gum
20150723	117	9D	LIAM	340439	244230	1.393927855	25	34.84819637	Sweet gum
20150723	117	1E	DIVI	504204	324864	1.552046395	25	38.80115987	Common persimmon
20150723	117	4C	DIVI	410085	345600	1.186588542	25	29.66471354	Common persimmon
20150723	117	7B	DIVI	294851	274954	1.072364832	25	26.8091208	Common persimmon
20150723	117	10A	DIVI	419217	296031	1.416125338	25	35.40313346	Common persimmon
20150723	117	1B	ACNE	527390	486504	1.084040419	25	27.10101047	Box elder
20150723	117	2E	ACNE	386495	287833	1.342775151	25	33.56937877	Box elder
20150723	117	4E	ACNE	496810	285445	1.740475398	25	43.51188495	Box elder
20150723	117	9A	ACNE	464954	245025	1.897577798	25	47.43944495	Box elder
